raceId,driverId,stop,seconds,driverRef,forename,nationality,position,clase_pos
1116,844,1,23.963,leclerc,Charles,Monegasque,7.0,0
1116,846,2,47.516,norris,Lando,British,6.0,0
1116,847,2,48.326,russell,George,British,8.0,0
1117,1,2,1235.118,hamilton,Lewis,British,3.0,1
1117,4,2,1252.681,alonso,Fernando,Spanish,5.0,0
1117,830,3,1253.935,max_verstappen,Max,Dutch,1.0,1
1117,832,2,1237.499,sainz,Carlos,Spanish,4.0,0
1117,842,2,1248.325,gasly,Pierre,French,10.0,0
1117,844,2,1232.76,leclerc,Charles,Monegasque,7.0,0
1117,846,3,1272.357,norris,Lando,British,6.0,0
1117,847,2,1240.511,russell,George,British,8.0,0
1117,857,2,1242.798,piastri,Oscar,Australian,9.0,0
1118,1,4,1472.541,hamilton,Lewis,British,3.0,1
1118,4,4,1474.675,alonso,Fernando,Spanish,4.0,0
1118,815,4,1479.209,perez,Sergio,Mexican,2.0,1
1118,830,4,1467.558,max_verstappen,Max,Dutch,1.0,1
1118,832,4,1483.995,sainz,Carlos,Spanish,6.0,0
1118,840,4,1477.34,stroll,Lance,Canadian,10.0,0
1118,846,4,1471.467,norris,Lando,British,5.0,0
1118,847,4,1479.125,russell,George,British,8.0,0
1118,857,4,1669.37,piastri,Oscar,Australian,9.0,0
1119,1,2,47.555,hamilton,Lewis,British,3.0,1
1119,4,2,52.518,alonso,Fernando,Spanish,5.0,0
1119,815,2,55.167,perez,Sergio,Mexican,2.0,1
1119,830,2,48.009,max_verstappen,Max,Dutch,1.0,1
1119,832,2,43.891,sainz,Carlos,Spanish,4.0,0
1119,840,2,44.792,stroll,Lance,Canadian,10.0,0
1119,844,1,22.559,leclerc,Charles,Monegasque,7.0,0
1119,847,2,43.209,russell,George,British,8.0,0
1119,857,2,43.804,piastri,Oscar,Australian,9.0,0
1120,1,2,44.24,hamilton,Lewis,British,3.0,1
1120,4,2,44.303,alonso,Fernando,Spanish,4.0,0
1120,815,2,42.72,perez,Sergio,Mexican,2.0,1
1120,830,2,42.937,max_verstappen,Max,Dutch,1.0,1
1120,832,2,42.793,sainz,Carlos,Spanish,7.0,0
1120,840,2,43.533,stroll,Lance,Canadian,10.0,0
1120,844,2,43.165,leclerc,Charles,Monegasque,5.0,0
1120,846,2,45.493,norris,Lando,British,6.0,0
1120,847,2,43.734,russell,George,British,8.0,0
1120,857,2,42.853,piastri,Oscar,Australian,9.0,0
1121,1,2,49.181,hamilton,Lewis,British,7.0,0
1121,4,2,49.895,alonso,Fernando,Spanish,9.0,0
1121,815,2,49.079,perez,Sergio,Mexican,2.0,1
1121,830,2,49.273,max_verstappen,Max,Dutch,1.0,1
1121,832,2,48.34,sainz,Carlos,Spanish,3.0,1
1121,840,2,48.963,stroll,Lance,Canadian,10.0,0
1121,844,2,48.205,leclerc,Charles,Monegasque,4.0,0
1121,846,2,48.91,norris,Lando,British,6.0,0
1121,847,2,49.644,russell,George,British,5.0,0
1121,857,2,50.302,piastri,Oscar,Australian,8.0,0
1122,1,1,20.17,hamilton,Lewis,British,9.0,0
1122,4,1,22.129,alonso,Fernando,Spanish,7.0,0
1122,815,1,22.196,perez,Sergio,Mexican,2.0,1
1122,830,1,20.607,max_verstappen,Max,Dutch,1.0,1
1122,844,1,23.419,leclerc,Charles,Monegasque,3.0,1
1122,846,1,22.211,norris,Lando,British,8.0,0
1122,847,1,21.013,russell,George,British,4.0,0
1122,857,1,21.427,piastri,Oscar,Australian,5.0,0
1122,860,1,22.457,bearman,Oliver,British,10.0,0
1123,1,1,17.596,hamilton,Lewis,British,10.0,0
1123,4,2,36.155,alonso,Fernando,Spanish,8.0,0
1123,815,2,35.334,perez,Sergio,Mexican,3.0,1
1123,832,2,35.339,sainz,Carlos,Spanish,4.0,0
1123,840,2,35.878,stroll,Lance,Canadian,9.0,0
1123,844,2,34.717,leclerc,Charles,Monegasque,2.0,1
1123,846,2,35.429,norris,Lando,British,6.0,0
1123,847,2,36.01,russell,George,British,7.0,0
1123,857,2,36.106,piastri,Oscar,Australian,5.0,0
1124,1,3,1627.985,hamilton,Lewis,British,9.0,0
1124,4,3,1627.079,alonso,Fernando,Spanish,8.0,0
1124,815,3,1623.607,perez,Sergio,Mexican,2.0,1
1124,830,3,1622.014,max_verstappen,Max,Dutch,1.0,1
1124,832,3,1626.824,sainz,Carlos,Spanish,4.0,0
1124,840,4,1655.418,stroll,Lance,Canadian,10.0,0
1124,844,2,1606.618,leclerc,Charles,Monegasque,3.0,1
1124,846,3,1626.397,norris,Lando,British,5.0,0
1124,847,3,1627.806,russell,George,British,7.0,0
1124,857,3,1626.472,piastri,Oscar,Australian,6.0,0
1125,1,2,45.18,hamilton,Lewis,British,9.0,0
1125,4,3,68.915,alonso,Fernando,Spanish,8.0,0
1125,815,2,44.398,perez,Sergio,Mexican,2.0,1
1125,830,2,44.726,max_verstappen,Max,Dutch,1.0,1
1125,832,1,22.629,sainz,Carlos,Spanish,4.0,0
1125,840,4,174.785,stroll,Lance,Canadian,10.0,0
1125,844,1,22.36,leclerc,Charles,Monegasque,3.0,1
1125,846,1,22.161,norris,Lando,British,5.0,0
1125,847,2,45.122,russell,George,British,7.0,0
1125,857,2,44.935,piastri,Oscar,Australian,6.0,0
1126,1,1,22.107,hamilton,Lewis,British,9.0,0
1126,4,1,22.374,alonso,Fernando,Spanish,8.0,0
1126,815,2,44.091,perez,Sergio,Mexican,2.0,1
1126,830,1,22.187,max_verstappen,Max,Dutch,1.0,1
1126,832,1,22.805,sainz,Carlos,Spanish,5.0,0
1126,844,1,21.825,leclerc,Charles,Monegasque,3.0,1
1126,846,1,22.041,norris,Lando,British,4.0,0
1126,847,1,22.8,russell,George,British,7.0,0
1126,852,1,22.153,tsunoda,Yuki,Japanese,10.0,0
1126,857,2,52.625,piastri,Oscar,Australian,6.0,0
1127,1,1,29.547,hamilton,Lewis,British,8.0,0
1127,4,3,91.782,alonso,Fernando,Spanish,9.0,0
1127,815,1,29.669,perez,Sergio,Mexican,3.0,1
1127,830,1,30.416,max_verstappen,Max,Dutch,1.0,1
1127,832,1,30.508,sainz,Carlos,Spanish,5.0,0
1127,844,1,30.149,leclerc,Charles,Monegasque,2.0,1
1127,846,1,29.956,norris,Lando,British,4.0,0
1127,847,2,59.269,russell,George,British,7.0,0
1127,852,1,29.628,tsunoda,Yuki,Japanese,10.0,0
1127,857,1,29.77,piastri,Oscar,Australian,6.0,0
1128,1,1,2375.369,hamilton,Lewis,British,8.0,0
1128,4,1,2389.467,alonso,Fernando,Spanish,9.0,0
1128,830,1,2372.67,max_verstappen,Max,Dutch,1.0,1
1128,832,1,2327.072,sainz,Carlos,Spanish,4.0,0
1128,844,1,2358.026,leclerc,Charles,Monegasque,2.0,1
1128,846,1,2365.538,norris,Lando,British,3.0,1
1128,847,1,2369.363,russell,George,British,7.0,0
1128,852,1,2377.564,tsunoda,Yuki,Japanese,10.0,0
1128,857,1,2357.645,piastri,Oscar,Australian,6.0,0
1129,1,3,76.805,hamilton,Lewis,British,8.0,0
1129,4,2,50.134,alonso,Fernando,Spanish,9.0,0
1129,815,2,58.185,perez,Sergio,Mexican,5.0,0
1129,830,2,48.552,max_verstappen,Max,Dutch,1.0,1
1129,832,2,51.751,sainz,Carlos,Spanish,4.0,0
1129,844,3,95.846,leclerc,Charles,Monegasque,2.0,1
1129,846,2,47.406,norris,Lando,British,3.0,1
1129,847,3,77.632,russell,George,British,7.0,0
1129,852,1,25.569,tsunoda,Yuki,Japanese,10.0,0
1129,857,2,47.453,piastri,Oscar,Australian,6.0,0
1130,1,2,43.443,hamilton,Lewis,British,8.0,0
1130,4,2,44.528,alonso,Fernando,Spanish,9.0,0
1130,815,3,65.117,perez,Sergio,Mexican,5.0,0
1130,830,2,43.884,max_verstappen,Max,Dutch,1.0,1
1130,832,2,44.443,sainz,Carlos,Spanish,4.0,0
1130,844,2,43.884,leclerc,Charles,Monegasque,3.0,1
1130,846,2,44.249,norris,Lando,British,2.0,1
1130,847,2,47.723,russell,George,British,7.0,0
1130,852,3,66.712,tsunoda,Yuki,Japanese,10.0,0
1130,857,2,44.644,piastri,Oscar,Australian,6.0,0
1131,1,2,48.844,hamilton,Lewis,British,8.0,0
1131,4,3,77.917,alonso,Fernando,Spanish,9.0,0
1131,815,2,48.791,perez,Sergio,Mexican,5.0,0
1131,830,3,70.469,max_verstappen,Max,Dutch,1.0,1
1131,832,2,42.509,sainz,Carlos,Spanish,4.0,0
1131,844,4,96.748,leclerc,Charles,Monegasque,3.0,1
1131,846,2,43.028,norris,Lando,British,2.0,1
1131,847,2,42.902,russell,George,British,7.0,0
1131,852,2,44.694,tsunoda,Yuki,Japanese,10.0,0
1131,857,2,41.753,piastri,Oscar,Australian,6.0,0
1132,1,2,58.967,hamilton,Lewis,British,8.0,0
1132,4,2,59.027,alonso,Fernando,Spanish,9.0,0
1132,815,4,118.875,perez,Sergio,Mexican,6.0,0
1132,830,2,57.441,max_verstappen,Max,Dutch,1.0,1
1132,832,3,87.002,sainz,Carlos,Spanish,4.0,0
1132,840,2,58.492,stroll,Lance,Canadian,10.0,0
1132,844,3,86.88,leclerc,Charles,Monegasque,3.0,1
1132,846,2,59.048,norris,Lando,British,2.0,1
1132,847,1,32.045,russell,George,British,7.0,0
1132,857,2,58.741,piastri,Oscar,Australian,5.0,0
1133,1,2,43.216,hamilton,Lewis,British,6.0,0
1133,4,2,44.342,alonso,Fernando,Spanish,9.0,0
1133,815,2,42.451,perez,Sergio,Mexican,7.0,0
1133,830,2,43.445,max_verstappen,Max,Dutch,1.0,1
1133,832,2,43.094,sainz,Carlos,Spanish,4.0,0
1133,840,2,45.513,stroll,Lance,Canadian,10.0,0
1133,844,2,43.617,leclerc,Charles,Monegasque,3.0,1
1133,846,2,43.11,norris,Lando,British,2.0,1
1133,847,2,42.697,russell,George,British,8.0,0
1133,857,2,43.464,piastri,Oscar,Australian,5.0,0
1134,1,2,45.892,hamilton,Lewis,British,6.0,0
1134,4,1,23.075,alonso,Fernando,Spanish,9.0,0
1134,815,3,67.972,perez,Sergio,Mexican,7.0,0
1134,830,2,46.157,max_verstappen,Max,Dutch,1.0,1
1134,832,2,46.169,sainz,Carlos,Spanish,5.0,0
1134,840,1,23.01,stroll,Lance,Canadian,10.0,0
1134,844,2,46.272,leclerc,Charles,Monegasque,3.0,1
1134,846,2,45.292,norris,Lando,British,2.0,1
1134,847,1,22.686,russell,George,British,8.0,0
1134,857,2,46.748,piastri,Oscar,Australian,4.0,0
1135,1,2,42.194,hamilton,Lewis,British,6.0,0
1135,4,1,21.348,alonso,Fernando,Spanish,9.0,0
1135,815,1,22.934,perez,Sergio,Mexican,7.0,0
1135,830,1,20.785,max_verstappen,Max,Dutch,1.0,1
1135,832,1,20.84,sainz,Carlos,Spanish,5.0,0
1135,840,1,21.385,stroll,Lance,Canadian,10.0,0
1135,844,1,20.841,leclerc,Charles,Monegasque,3.0,1
1135,846,1,21.536,norris,Lando,British,2.0,1
1135,847,2,43.005,russell,George,British,8.0,0
1135,857,1,20.969,piastri,Oscar,Australian,4.0,0
1136,1,2,48.624,hamilton,Lewis,British,6.0,0
1136,4,2,49.367,alonso,Fernando,Spanish,9.0,0
1136,815,2,48.758,perez,Sergio,Mexican,7.0,0
1136,830,2,52.348,max_verstappen,Max,Dutch,1.0,1
1136,832,1,24.313,sainz,Carlos,Spanish,5.0,0
1136,840,3,74.458,stroll,Lance,Canadian,10.0,0
1136,844,1,24.551,leclerc,Charles,Monegasque,3.0,1
1136,846,2,49.039,norris,Lando,British,2.0,1
1136,847,2,58.993,russell,George,British,8.0,0
1136,857,2,48.463,piastri,Oscar,Australian,4.0,0
1137,1,1,21.289,hamilton,Lewis,British,6.0,0
1137,4,1,20.073,alonso,Fernando,Spanish,9.0,0
1137,815,1,20.63,perez,Sergio,Mexican,8.0,0
1137,830,2,41.87,max_verstappen,Max,Dutch,1.0,1
1137,832,1,21.483,sainz,Carlos,Spanish,5.0,0
1137,840,2,41.337,stroll,Lance,Canadian,10.0,0
1137,844,1,20.671,leclerc,Charles,Monegasque,3.0,1
1137,846,1,19.712,norris,Lando,British,2.0,1
1137,847,1,19.954,russell,George,British,7.0,0
