raceId,driverId,stop,seconds,driverRef,forename,nationality,position,clase_pos
1143,832,3,93.275,sainz,Carlos,Spanish,5.0,0
1143,844,3,83.118,leclerc,Charles,Monegasque,3.0,1
1143,846,4,118.431,norris,Lando,British,2.0,1
1143,847,4,116.979,russell,George,British,6.0,0
1143,857,3,80.011,piastri,Oscar,Australian,4.0,0
1144,1,1,21.694,hamilton,Lewis,British,7.0,0
1144,4,2,45.763,alonso,Fernando,Spanish,9.0,0
1144,830,1,32.652,max_verstappen,Max,Dutch,1.0,1
1144,832,1,21.28,sainz,Carlos,Spanish,5.0,0
1144,842,1,22.059,gasly,Pierre,French,10.0,0
1144,844,1,21.869,leclerc,Charles,Monegasque,3.0,1
1144,846,1,21.276,norris,Lando,British,2.0,1
1144,847,1,21.656,russell,George,British,6.0,0
1144,857,2,56.356,piastri,Oscar,Australian,4.0,0
